,Accuracy,Precision,Recall,F1 Score,ROC AUC
Random Forest,0.9693877551020408,0.9743589743589743,0.95,0.9620253164556962,0.9885775862068966
XGBoost,0.9795918367346939,1.0,0.95,0.9743589743589743,0.9909482758620689
Logistic Regression,0.9795918367346939,0.975,0.975,0.975,0.9892241379310345
SVM,0.9897959183673469,1.0,0.975,0.9873417721518988,0.9913793103448276
KNN,0.9693877551020408,1.0,0.925,0.961038961038961,0.9836206896551725
Decision Tree,0.8775510204081632,0.8888888888888888,0.8,0.8421052631578947,0.8655172413793104
Gaussian Naive Bayes,0.9489795918367347,0.9487179487179487,0.925,0.9367088607594937,0.9909482758620689
